aTime,bx-Axis,cy-Axis,dz-Axis
0.0,0.06666,0.04357,0.94546
9.0,0.06686,0.04292,0.94751
113.0,0.06683,0.04299,0.94745
217.0,0.06693,0.04293,0.94731
321.0,0.06693,0.04286,0.94723
425.0,0.06674,0.04303,0.94737
529.0,0.06675,0.04321,0.94758
633.0,0.06681,0.04304,0.94737
737.0,0.06677,0.04306,0.94741
841.0,0.06682,0.04297,0.94749
945.0,0.06674,0.04296,0.9474
1049.0,0.06695,0.04287,0.94734
1153.0,0.06684,0.04298,0.94746
1257.0,0.06683,0.04323,0.94741
1361.0,0.06699,0.04294,0.94736
1465.0,0.06694,0.04278,0.94724
1569.0,0.06685,0.04319,0.94739
1673.0,0.06685,0.04324,0.94729
1777.0,0.06684,0.04323,0.94753
1881.0,0.06683,0.04297,0.9474
1985.0,0.06672,0.04311,0.94742
2089.0,0.06484,0.04364,0.94398
2193.0,0.06847,0.04274,0.95094
2297.0,0.06799,0.04285,0.94824
2401.0,0.06682,0.04285,0.94718
2505.0,0.06655,0.04335,0.94727
2609.0,0.06668,0.04316,0.94723
2713.0,0.06691,0.04288,0.94745
2817.0,0.06699,0.04302,0.94748
2921.0,0.06685,0.04326,0.94755
3025.0,0.06684,0.04311,0.94745
3129.0,0.06672,0.04297,0.94737
3233.0,0.06666,0.04313,0.94735
3337.0,0.06653,0.04313,0.94644
3441.0,0.06698,0.04265,0.94889
3545.0,0.06777,0.04296,0.94778
3649.0,0.0666,0.04277,0.94697
3753.0,0.06636,0.04319,0.94728
3857.0,0.0665,0.04336,0.94727
3961.0,0.06675,0.04275,0.9474
4065.0,0.06686,0.04297,0.94758
4169.0,0.06683,0.04303,0.94752
4273.0,0.06671,0.04301,0.94755
4377.0,0.06684,0.0429,0.94737
4481.0,0.0671,0.04294,0.94733
4585.0,0.06672,0.04303,0.94749
4689.0,0.06674,0.04329,0.94759
4793.0,0.06641,0.04294,0.94759
4897.0,0.06706,0.04308,0.94751
5001.0,0.06674,0.04293,0.94693
5105.0,0.06709,0.04322,0.94767
5209.0,0.06682,0.04296,0.94755
5313.0,0.06664,0.04285,0.94746
5417.0,0.06669,0.04317,0.9474
5521.0,0.0667,0.04338,0.94745
5625.0,0.06674,0.043,0.94745
5729.0,0.06683,0.04302,0.94738
5833.0,0.06661,0.04315,0.94743
5937.0,0.06661,0.04316,0.9475
6041.0,0.06674,0.04315,0.94747
6145.0,0.06683,0.04297,0.94737
6249.0,0.06682,0.04333,0.94746
6353.0,0.06689,0.04301,0.94745
6457.0,0.06672,0.04315,0.9474
6561.0,0.06689,0.04302,0.94731
6665.0,0.0669,0.04307,0.94735
6769.0,0.06673,0.0431,0.94744
6873.0,0.06697,0.04286,0.94731
6977.0,0.06692,0.04303,0.94732
7081.0,0.06683,0.0431,0.94731
7185.0,0.06703,0.04301,0.94707
7289.0,0.06635,0.04341,0.94747
7393.0,0.06681,0.04335,0.94756
7497.0,0.06675,0.04297,0.94767
7601.0,0.06697,0.04301,0.94749
7705.0,0.06679,0.04336,0.94728
7809.0,0.06685,0.04314,0.94747
7913.0,0.06677,0.04339,0.94726
8017.0,0.06687,0.04328,0.94744
8121.0,0.06682,0.04312,0.94741
8225.0,0.06711,0.04301,0.94737
8329.0,0.06688,0.04307,0.94741
8433.0,0.06692,0.04315,0.9473
8537.0,0.06785,0.04305,0.9476
8641.0,0.06549,0.04327,0.94782
8745.0,0.06665,0.0433,0.94742
8849.0,0.06707,0.04341,0.94734
8953.0,0.06697,0.04283,0.94743
9057.0,0.06672,0.04326,0.94751
9161.0,0.06692,0.04306,0.94755
9265.0,0.06688,0.04338,0.94749
9369.0,0.06675,0.04338,0.94749
9473.0,0.06689,0.04321,0.94748
9577.0,0.06697,0.04327,0.94748
9681.0,0.06699,0.04293,0.9472
9785.0,0.0667,0.04331,0.94747
9889.0,0.06691,0.04297,0.94815
9993.0,0.06702,0.04329,0.94677
10097.0,0.06704,0.0429,0.94743
10201.0,0.06626,0.04334,0.94758
10305.0,0.06707,0.04305,0.9476
10409.0,0.06715,0.04317,0.94751
10513.0,0.06677,0.04321,0.94753
10617.0,0.06681,0.04331,0.9475
10721.0,0.06672,0.04329,0.94745
10825.0,0.0667,0.04317,0.94743
10929.0,0.06686,0.04319,0.94743
11033.0,0.06704,0.04292,0.9476
11137.0,0.06651,0.04316,0.94946
11241.0,0.0673,0.04309,0.94522
11345.0,0.06662,0.04292,0.94743
11449.0,0.06692,0.04328,0.94773
11553.0,0.06691,0.04308,0.94746
11657.0,0.0671,0.04292,0.94748
11761.0,0.06676,0.04299,0.94738
11865.0,0.06665,0.04316,0.94742
11969.0,0.06665,0.0432,0.94733
12073.0,0.06687,0.0429,0.94746
12177.0,0.06693,0.04296,0.94736
12281.0,0.0667,0.043,0.94738
12385.0,0.06507,0.0432,0.94453
12489.0,0.06806,0.0427,0.9503
12593.0,0.06752,0.04293,0.94793
12697.0,0.06689,0.04274,0.94735
12801.0,0.06655,0.04327,0.94733
12905.0,0.06664,0.04325,0.9474
13009.0,0.0667,0.04311,0.94739
13113.0,0.06692,0.04331,0.94752
13217.0,0.06693,0.04297,0.94754
13321.0,0.06704,0.04309,0.94718
13425.0,0.06682,0.04328,0.9475
13529.0,0.06693,0.04318,0.94747
13633.0,0.06687,0.04336,0.94749
13737.0,0.06738,0.04315,0.94739
13841.0,0.06607,0.04301,0.94756
13945.0,0.06686,0.04338,0.94731
14056.0,0.0669,0.04308,0.94767
14160.0,0.06692,0.04311,0.9476
14264.0,0.06709,0.04312,0.94727
14368.0,0.06695,0.04294,0.94737
14472.0,0.06687,0.04303,0.94741
14576.0,0.06673,0.04331,0.94749
14680.0,0.06685,0.04306,0.94721
14784.0,0.06677,0.04314,0.94767
14888.0,0.06683,0.04329,0.94762
14992.0,0.06703,0.04294,0.9474
15096.0,0.06679,0.04314,0.94731
15200.0,0.0669,0.04322,0.94749
15304.0,0.06712,0.04287,0.94756
15408.0,0.06698,0.04309,0.94733
15512.0,0.067,0.04305,0.94717
15616.0,0.06686,0.0434,0.94733
15720.0,0.06673,0.04311,0.94726
15824.0,0.06714,0.04298,0.94747
15928.0,0.06711,0.04326,0.94744
16032.0,0.06706,0.04308,0.94742
16136.0,0.06682,0.04346,0.94738
16240.0,0.06663,0.04348,0.94754
16344.0,0.06688,0.04331,0.94728
16448.0,0.06685,0.0433,0.94737
16552.0,0.0669,0.04313,0.94739
16656.0,0.06671,0.0433,0.94735
16760.0,0.06699,0.04331,0.94756
16864.0,0.06687,0.04333,0.94761
16968.0,0.06691,0.04325,0.9475
17072.0,0.067,0.04324,0.94748
17176.0,0.06684,0.04305,0.94748
17280.0,0.06687,0.04296,0.94742
17384.0,0.06685,0.04301,0.94747
17488.0,0.06688,0.04318,0.94755
17592.0,0.06708,0.04312,0.94739
17696.0,0.06717,0.04312,0.94739
17800.0,0.06684,0.04319,0.94746
17904.0,0.06684,0.04342,0.94753
18008.0,0.06691,0.04295,0.94735
18112.0,0.0668,0.04324,0.94756
18216.0,0.06652,0.04328,0.94756
18320.0,0.06686,0.04303,0.94754
18424.0,0.06684,0.04295,0.94759
18528.0,0.06691,0.043,0.94755
18632.0,0.067,0.04299,0.94745
18736.0,0.06709,0.04292,0.9474
18840.0,0.06703,0.04329,0.94745
18944.0,0.06701,0.04287,0.94743
19048.0,0.06686,0.0432,0.94743
19152.0,0.06687,0.04318,0.9476
19256.0,0.06678,0.04311,0.94747
19360.0,0.06692,0.0434,0.94744
19464.0,0.06711,0.04304,0.94738
19568.0,0.06678,0.04331,0.9476
19672.0,0.06697,0.043,0.94754
19776.0,0.06693,0.04317,0.94744
19880.0,0.06681,0.04314,0.9476
19984.0,0.06707,0.043,0.94746
20088.0,0.06688,0.04295,0.94745
20192.0,0.06688,0.04311,0.94766
20296.0,0.06699,0.04303,0.94732
20400.0,0.06684,0.04316,0.94754
20504.0,0.06683,0.04306,0.94755
20608.0,0.06698,0.04294,0.94739
20712.0,0.06698,0.0428,0.94765
20816.0,0.06689,0.04335,0.9476
20920.0,0.06692,0.0432,0.94745
21024.0,0.06672,0.04314,0.94757
21128.0,0.06711,0.04307,0.94742
21232.0,0.06696,0.0431,0.94739
21336.0,0.06719,0.04296,0.94751
21440.0,0.06693,0.04304,0.94742
21544.0,0.06676,0.04293,0.94755
21648.0,0.06686,0.04294,0.9475
21752.0,0.06688,0.04302,0.94758
21856.0,0.06716,0.04275,0.94741
21960.0,0.067,0.04319,0.94737
22064.0,0.06678,0.04304,0.94753
22168.0,0.06707,0.04303,0.94738
