aTime,bx-Axis,cy-Axis,dz-Axis
0.0,-0.04169,0.15459,0.94057
9.0,-0.0416,0.15409,0.94016
113.0,-0.04158,0.15425,0.94028
217.0,-0.04167,0.15427,0.9401
321.0,-0.04182,0.1541,0.94033
425.0,-0.04168,0.15409,0.94034
529.0,-0.04142,0.15426,0.94017
633.0,-0.04159,0.15428,0.94031
737.0,-0.04171,0.15418,0.9403
841.0,-0.04192,0.1543,0.94032
945.0,-0.04163,0.15435,0.94042
1049.0,-0.04164,0.154,0.9403
1153.0,-0.0418,0.15431,0.94037
1257.0,-0.04148,0.15411,0.9403
1361.0,-0.04185,0.15422,0.94051
1465.0,-0.04149,0.15431,0.94011
1569.0,-0.04162,0.15394,0.94022
1673.0,-0.04164,0.15413,0.94018
1777.0,-0.04171,0.15426,0.94039
1881.0,-0.04169,0.15427,0.94024
1985.0,-0.04183,0.15423,0.9403
2089.0,-0.04186,0.15404,0.94037
2193.0,-0.04194,0.15424,0.94056
2297.0,-0.04148,0.15423,0.94043
2401.0,-0.04167,0.15437,0.94039
2505.0,-0.04159,0.15407,0.94023
2609.0,-0.04183,0.15419,0.9404
2713.0,-0.04181,0.15421,0.94034
2817.0,-0.0417,0.15402,0.94038
2921.0,-0.04162,0.15419,0.94028
3025.0,-0.04152,0.15412,0.94023
3129.0,-0.0417,0.15416,0.94033
3233.0,-0.0418,0.15408,0.94027
3337.0,-0.04158,0.15414,0.94024
3441.0,-0.04175,0.15414,0.94025
3545.0,-0.04159,0.15391,0.94011
3649.0,-0.04159,0.15376,0.94007
3753.0,-0.0417,0.1541,0.94027
3857.0,-0.04173,0.15391,0.94026
3961.0,-0.0417,0.15408,0.94032
4065.0,-0.0417,0.15415,0.94028
4169.0,-0.04188,0.15427,0.94052
4273.0,-0.04181,0.15428,0.94043
4377.0,-0.04161,0.15387,0.94025
4481.0,-0.04172,0.15417,0.9403
4585.0,-0.04184,0.15399,0.94026
4689.0,-0.04176,0.15393,0.9403
4793.0,-0.04193,0.1541,0.94047
4897.0,-0.042,0.15414,0.94045
5001.0,-0.04153,0.154,0.94043
5105.0,-0.04176,0.15389,0.94043
5209.0,-0.04166,0.15402,0.94019
5313.0,-0.04152,0.1538,0.94027
5417.0,-0.04152,0.15392,0.94026
5521.0,-0.04174,0.15402,0.94038
5625.0,-0.04166,0.15413,0.9403
5729.0,-0.04182,0.15423,0.94047
5833.0,-0.04164,0.15389,0.9403
5937.0,-0.04166,0.154,0.94047
6041.0,-0.04179,0.15398,0.94029
6145.0,-0.04173,0.15406,0.94028
6249.0,-0.04168,0.15406,0.94018
6353.0,-0.04189,0.15428,0.94039
6457.0,-0.04165,0.15402,0.94025
6561.0,-0.0418,0.15422,0.94044
6665.0,-0.04186,0.15412,0.94041
6769.0,-0.04188,0.15419,0.9404
6873.0,-0.04182,0.15414,0.9404
6977.0,-0.04151,0.15408,0.9404
7081.0,-0.04163,0.15393,0.94027
